Model,(i) $I(V; \acute{Z} \mid Z)$,(ii) $I(V;\acute{\Theta} \mid \acute{Z})$,(iii) $I(S;\acute{\Theta} \mid \acute{Z})$,FQI,RMSE,R2denorm,Prefix,Type,Depth,LatDim,Comp,Source,MP,AC,SS,RA,NMSE,MS,ISCOREam,ISCOREgm,ISCOREhm,MetricType,SourceType
SKZFC_ART_2_50_800_Mimic,3.58472534191099,0.10444365568195596,0.34668243224524076,0.071224999705674,3.258704373051988,0.9833792301034286,SKZFC,ART,2,50,800,Mimic,0.5658187887734913,0.7071837315150528,0.6356250766922472,0.9833792301034286,0.016620769896571352,0.9996150531836034,0.7783243760535646,0.7578668196265451,0.7383396348151609,FFT,Mimic : ART
SKZFC_ART_2_50_800_VitalDB,3.365249149875025,0.05748873060921382,0.3651063728033712,0.0408330362099064,4.165630706980652,0.9719801452815512,SKZFC,ART,2,50,800,VitalDB,0.6704339738990941,0.7198565989315474,0.7199636598267183,0.9719801452815512,0.02801985471844881,0.9994028527721217,0.8163274461422066,0.804752087093914,0.793761560809102,FFT,VitalDB : ART
SKZFC_II_1_30_500_Mimic,3.2814323556438056,0.16047808138271794,0.7279369426102683,0.2361006837435081,0.40132990227773435,0.3259998876439693,SKZFC,II,1,30,500,Mimic,0.47602963083432603,0.875673176551748,0.3865082901014375,0.3259998876439693,0.6740001123560306,0.99929383295865,0.6127009636180263,0.5546373355316911,0.5051450463542072,FFT,Mimic : II
SKZFC_II_1_30_500_VitalDB,2.2341336016074496,0.0947382805278227,0.48359854420034176,0.2116896366979709,0.0522136132905184,0.7911388376531118,SKZFC,II,1,30,500,VitalDB,0.5845389427007659,0.7873073955972785,0.41248849060128,0.7911388376531118,0.20886116234688823,0.9942498836216638,0.7139447100348201,0.6836338741522573,0.6514661369237102,FFT,VitalDB : II
SKZFC_II_1_30_800_Mimic,2.652687301105027,0.19806397066366283,0.7946221955870759,0.2204844418396806,0.3801796776563762,0.3951680472599171,SKZFC,II,1,30,800,Mimic,0.42809143744422906,0.892143621870355,0.402850711210495,0.3951680472599171,0.604831952740083,0.9975144921048807,0.6231536619779754,0.5709042777444912,0.5278596336528993,FFT,Mimic : II
SKZFC_II_1_30_800_VitalDB,1.649549383123433,0.1379525643531245,0.6007739044625022,0.2001265870824132,0.05031545756479215,0.8060485427992865,SKZFC,II,1,30,800,VitalDB,0.508965300351062,0.8362246220818077,0.4256746216636512,0.8060485427992865,0.1939514572007135,0.9813682169604891,0.7116562607712592,0.6780417154717896,0.643547093341467,FFT,VitalDB : II
SKZFC_II_1_50_800_Mimic,2.782466407142849,0.16138729820811012,0.7650690124552396,0.2427180327066905,0.38078325280594605,0.393246054346732,SKZFC,II,1,50,800,Mimic,0.4747734384687149,0.8851520874615773,0.3798619275044476,0.393246054346732,0.606753945653268,0.9980832440999134,0.6262233503762771,0.5746352236670796,0.5311571355911853,FFT,Mimic : II
SKZFC_II_1_50_800_VitalDB,1.9962754802432678,0.10121685029733189,0.6904326717685659,0.1955538679115507,0.04978080948834601,0.8101484694206664,SKZFC,II,1,50,800,VitalDB,0.5719119602479077,0.8652393048451529,0.43106001159321095,0.8101484694206664,0.18985153057933357,0.9907307493857999,0.7338180990985477,0.702594397888553,0.6695384758606042,FFT,VitalDB : II
SKZFC_II_2_30_500_Mimic,1.303941838899652,0.005034236124145399,0.5018987883766157,0.6339319518128519,0.3796122005207266,0.3969723106832798,SKZFC,II,2,30,500,Mimic,0.8999102659209113,0.7959365300663219,0.1523161829716705,0.3969723106832798,0.6030276893167201,0.9624498265672086,0.6415170232418784,0.5296541763143641,0.40028895587603736,FFT,Mimic : II
SKZFC_II_2_30_500_VitalDB,1.750831636246523,0.23648966393907134,0.48298666184272,0.147674239686485,0.050334638706276615,0.8059006391678101,SKZFC,II,2,30,500,VitalDB,0.38611316411863517,0.7870117151779435,0.4943046161641066,0.8059006391678101,0.19409936083218993,0.9848110485305694,0.6916282366318129,0.6535291700181577,0.6142612998711572,FFT,VitalDB : II
SKZFC_II_2_30_800_Mimic,3.187707435450821,0.21952245597919529,0.43944107899233736,0.2452368744231685,0.3869539401286528,0.3734215174301896,SKZFC,II,2,30,800,Mimic,0.40388912642330477,0.764691550434298,0.3773734922719659,0.3734215174301896,0.6265784825698104,0.9991481806218169,0.583704773436315,0.5341580981724837,0.4944458935554658,FFT,Mimic : II
SKZFC_II_2_30_800_VitalDB,2.4003887039143312,0.24888373935519822,0.4636351100692358,0.1446198933905004,0.05068529853431466,0.8031868050139883,SKZFC,II,2,30,800,VitalDB,0.3738101445799299,0.777410942468281,0.49883398330346085,0.8031868050139883,0.19681319498601169,0.9958798362927783,0.6898243423316875,0.6499145409813295,0.6086184028208752,FFT,VitalDB : II
SKZFC_II_2_50_800_Mimic,3.015058325614687,0.2512709928512686,0.6108440500378971,0.2703075245581496,0.38298909046875723,0.3861959684864586,SKZFC,II,2,50,800,Mimic,0.3715024466197695,0.8398022331023678,0.3537724423829719,0.3861959684864586,0.6138040315135413,0.9987966693020379,0.5900139519787211,0.5318994055010898,0.4854478082520824,FFT,Mimic : II
SKZFC_II_2_50_800_VitalDB,2.5395750331608506,0.23547782061051042,0.4901538929839505,0.1646273939285135,0.04950010540926352,0.8122835028935531,SKZFC,II,2,50,800,VitalDB,0.38714216628382314,0.7904456963405043,0.4703394330342402,0.8122835028935531,0.1877164971064469,0.9968825418406527,0.6914186680785546,0.650580595912527,0.6091255745770457,FFT,VitalDB : II
SKZFC_ART_1_30_500_Mimic,4.625617488622665,0.06895319978706534,0.8520029928453278,0.0686045289039611,5.111573919286142,0.9591049728039788,SKZFC,ART,1,30,500,Mimic,0.6410852897557753,0.9044594184597518,0.641932901541534,0.9591049728039788,0.04089502719602123,0.9999520023333014,0.8293069169788684,0.8138192642384053,0.7979611003565509,DCT,Mimic : ART
SKZFC_ART_1_30_500_VitalDB,4.447617481946946,0.05007280702935527,0.7926964245422679,0.0558717176318168,5.688423176812691,0.9477497778253078,SKZFC,ART,1,30,500,VitalDB,0.691302203732226,0.8917021389585982,0.6748441406917882,0.9477497778253078,0.05225022217469222,0.9999314774645823,0.8411059477345006,0.8301394109192037,0.8189982612525355,DCT,VitalDB : ART
SKZFC_ART_1_30_800_Mimic,4.075504791736603,0.08871906337328252,0.7913024970604223,0.0803056508302688,3.720351974408975,0.9783364677923966,SKZFC,ART,1,30,800,Mimic,0.5967789826756915,0.8913813815918025,0.6148026885338475,0.9783364677923966,0.02166353220760342,0.9998557675963671,0.8162310576380211,0.796173442500301,0.7756336754213478,DCT,Mimic : ART
SKZFC_ART_1_30_800_VitalDB,3.9849630653858186,0.05633943631080906,0.8912125954144581,0.0452213585376739,4.434750582747936,0.968242760383866,SKZFC,ART,1,30,800,VitalDB,0.6735609111993845,0.9120144389719573,0.7059365066539693,0.968242760383866,0.03175723961613397,0.9998271327975266,0.8519163500013407,0.8406412204337299,0.8290979801318761,DCT,VitalDB : ART
SKZFC_ART_1_50_800_Mimic,4.557534034252167,0.0667014435306191,0.8304928511644946,0.0879602134227752,3.438081035664837,0.9814990756300124,SKZFC,ART,1,50,800,Mimic,0.6466056729274199,0.9000268595958455,0.5983592618651263,0.9814990756300124,0.018500924369987626,0.9999450005706902,0.8252871741178189,0.8067604534208019,0.7876798047402016,DCT,Mimic : ART
SKZFC_ART_1_50_800_VitalDB,4.758414387702942,0.030442083517555098,0.9640236446999765,0.0501157119870185,4.600317859070126,0.9658272422722556,SKZFC,ART,1,50,800,VitalDB,0.7569613702169886,0.9244285219418835,0.6911764924640051,0.9658272422722556,0.03417275772774442,0.9999631979701293,0.8676713649730525,0.8587839041646994,0.8496107567799687,DCT,VitalDB : ART
SKZFC_ART_2_30_500_Mimic,4.164194904565811,0.18029489688575265,0.4709119580288806,0.0543264895677566,4.987218128679033,0.9610705796338532,SKZFC,ART,2,30,500,Mimic,0.44978637079878203,0.7810787333380265,0.6791287729678344,0.9610705796338532,0.03892942036614677,0.999879212359815,0.7741887338196621,0.7448540981476863,0.712589725221524,DCT,Mimic : ART
SKZFC_ART_2_30_500_VitalDB,4.29436331987381,0.14871794532984492,0.5226347179996924,0.0480820462107658,5.8427064460262566,0.9448770463422688,SKZFC,ART,2,30,500,VitalDB,0.4927724346966015,0.8052347026142391,0.6972046173379849,0.9448770463422688,0.05512295365773123,0.9999068991523318,0.7879991400286852,0.7646325846861469,0.7392142060887288,DCT,VitalDB : ART
SKZFC_ART_2_30_800_Mimic,4.292535313367844,0.09468173715285953,0.3854205444552338,0.0999967902898788,3.2612163951721005,0.9833535954773096,SKZFC,ART,2,30,800,Mimic,0.5846515706581044,0.7330594812953727,0.5742489094219732,0.9833535954773096,0.016646404522690395,0.9999065581355159,0.7750440229976551,0.7529413153687002,0.7317437601073746,DCT,Mimic : ART
SKZFC_ART_2_30_800_VitalDB,4.36273942232132,0.03936756991781289,0.5882192655029075,0.0404297709465026,4.2083722546386175,0.9714021986978468,SKZFC,ART,2,30,800,VitalDB,0.724835863938166,0.8316399140325205,0.7212944746187413,0.9714021986978468,0.02859780130215317,0.9999187991971863,0.8498182500968922,0.841647589388982,0.8336135100581298,DCT,VitalDB : ART
SKZFC_ART_2_50_800_Mimic,4.581955157518387,0.157532355338335,0.33993691570145734,0.0585899576544761,3.258704373051988,0.9833792301034286,SKZFC,ART,2,50,800,Mimic,0.4801362204049302,0.7023667734501394,0.6674720426270939,0.9833792301034286,0.016620769896571352,0.9999476223878221,0.7666603777946828,0.7396256402212472,0.7120839525900192,DCT,Mimic : ART
SKZFC_ART_2_50_800_VitalDB,4.206471567153931,0.1263899317383766,0.3533482904187488,0.0502233281731605,4.165630706980652,0.9719801452815512,SKZFC,ART,2,50,800,VitalDB,0.5273889861407028,0.7118490079833195,0.6908614500030072,0.9719801452815512,0.02801985471844881,0.9998890060448619,0.7803937190906886,0.7591084352227938,0.7377533563608017,DCT,VitalDB : ART
SKZFC_II_1_30_500_Mimic,4.13133278131485,0.2366484639421105,0.7080273839529572,0.5104940533638,0.40132990227773435,0.3259998876439693,SKZFC,II,1,30,500,Mimic,0.38595201649285205,0.8702473680555901,0.2001492700904175,0.3259998876439693,0.6740001123560306,0.9998710064615434,0.5564439097488745,0.4657343752372476,0.3905035782678906,DCT,Mimic : II
SKZFC_II_1_30_500_VitalDB,3.166124428510666,0.1358625587262213,0.5195829020230387,0.4097784161567688,0.0522136132905184,0.7911388376531118,SKZFC,II,1,30,500,VitalDB,0.5122128643718071,0.8038969738467101,0.2520874936462292,0.7911388376531118,0.20886116234688823,0.999110589107751,0.6716893517251219,0.6064760967391112,0.530333971059611,DCT,VitalDB : II
SKZFC_II_1_30_800_Mimic,3.342396035194397,0.28848569646477695,0.7042188640236834,0.5274735689163208,0.3801796776563762,0.3951680472599171,SKZFC,II,1,30,800,Mimic,0.3378796552999539,0.869180648972452,0.19266539402740035,0.3951680472599171,0.604831952740083,0.9993749173398716,0.558853732579919,0.46755985412933215,0.3896605103259557,DCT,Mimic : II
SKZFC_II_1_30_800_VitalDB,2.7551568150520325,0.20202202547341583,0.6006780149166838,0.41775643825531,0.05031545756479215,0.8060485427992865,SKZFC,II,1,30,800,VitalDB,0.42347134638511497,0.8361901336594519,0.24743904861920074,0.8060485427992865,0.1939514572007135,0.9979755314630129,0.6622249205852133,0.5883227997295788,0.5080586702738082,DCT,VitalDB : II
SKZFC_II_1_50_800_Mimic,3.380183435678482,0.23481550745666024,0.6539561170090415,0.5338650941848755,0.38078325280594605,0.393246054346732,SKZFC,II,1,50,800,Mimic,0.38781777823192154,0.8541756458888058,0.18993084641332114,0.393246054346732,0.606753945653268,0.9994204300673826,0.5649181509896326,0.4771298634916299,0.39815760572433845,DCT,Mimic : II
SKZFC_II_1_50_800_VitalDB,2.997032607793808,0.15948648795485493,0.684434545699848,0.4093534350395202,0.04978080948834601,0.8101484694206664,SKZFC,II,1,50,800,VitalDB,0.47740569532593824,0.8634845141311925,0.2523380163850508,0.8101484694206664,0.18985153057933357,0.998752468444598,0.6804258327414893,0.609578250359983,0.5290287621235921,DCT,VitalDB : II
SKZFC_II_2_30_500_Mimic,3.4047817325592042,0.008735897686274204,0.43459817762451824,0.7649729251861572,0.3796122005207266,0.3969723106832798,SKZFC,II,2,30,500,Mimic,0.8683943443318206,0.7620443735201998,0.11487141779244281,0.3969723106832798,0.6030276893167201,0.9994482606073445,0.6283461413870175,0.49646193089582596,0.3403950497761509,DCT,Mimic : II
SKZFC_II_2_30_500_VitalDB,2.630987993478775,0.33947278767824174,0.5114557396313208,0.2160405814647674,0.050334638706276615,0.8059006391678101,SKZFC,II,2,30,500,VitalDB,0.2979682795894706,0.8002833233736449,0.40767972100265215,0.8059006391678101,0.19409936083218993,0.9974041061674749,0.6618472138602105,0.60058863855304,0.5375202162234952,DCT,VitalDB : II
SKZFC_II_2_30_800_Mimic,3.859329663515091,0.2925329528748989,0.4814730509417341,0.5711049437522888,0.3869539401286528,0.3734215174301896,SKZFC,II,2,30,800,Mimic,0.3344694947205811,0.7862782557374391,0.1748412504953103,0.3734215174301896,0.6265784825698104,0.9997777472644139,0.5337576531295868,0.4435431718243764,0.36605206950763103,DCT,Mimic : II
SKZFC_II_2_30_800_VitalDB,3.457468867301941,0.3198565900325775,0.5161811456200425,0.166808620095253,0.05068529853431466,0.8031868050139883,SKZFC,II,2,30,800,VitalDB,0.3125726829059411,0.8023935434099628,0.46739124237009544,0.8031868050139883,0.19681319498601169,0.9995034550832883,0.6770095457566552,0.6233385354590361,0.5662129748602834,DCT,VitalDB : II
SKZFC_II_2_50_800_Mimic,3.68261225938797,0.38246971502900123,0.6071232297785641,0.653435468673706,0.38298909046875723,0.3861959684864586,SKZFC,II,2,50,800,Mimic,0.26881063812246875,0.838490499916249,0.145989263845824,0.3861959684864586,0.6138040315135413,0.9996835082683178,0.5278339757278636,0.4176256418116178,0.3256861239194331,DCT,Mimic : II
SKZFC_II_2_50_800_VitalDB,3.4753547215461733,0.28618140861392016,0.5179187973967049,0.3203169107437134,0.04950010540926352,0.8122835028935531,SKZFC,II,2,50,800,VitalDB,0.3398415211822672,0.8031631405074383,0.3122197448797088,0.8122835028935531,0.1877164971064469,0.9995209075863325,0.65340576340986,0.5861489856303742,0.5196384858685292,DCT,VitalDB : II
SKZFC_ART_1_30_500_Mimic,1.0971009785188748,0.02765995399860471,1.0115350486309662,0.044995269830737,5.111573919286142,0.9591049728039788,SKZFC,ART,1,30,500,Mimic,0.768013811213744,0.9315316288604658,0.7066398653711243,0.9591049728039788,0.04089502719602123,0.9426306456448096,0.8615841847788245,0.8550558714880595,0.8482903277792014,WSE,Mimic : ART
SKZFC_ART_1_30_500_VitalDB,0.8777353493011302,0.014555350141065165,0.8828892757085818,0.0257747954826238,5.688423176812691,0.9477497778253078,SKZFC,ART,1,30,500,VitalDB,0.8306156274677021,0.9104649577891294,0.7758494913016964,0.9477497778253078,0.05225022217469222,0.9094911356105325,0.8748341979988737,0.8725425101552111,0.8701973963143784,WSE,VitalDB : ART
SKZFC_ART_1_30_800_Mimic,0.983234510734831,0.00941184338622456,0.8554302488122754,0.0462795159143389,3.720351974408975,0.9783364677923966,SKZFC,ART,1,30,800,Mimic,0.8634436833921998,0.905146272723583,0.702670883082118,0.9783364677923966,0.02166353220760342,0.9273887287620332,0.8753972071504661,0.8699433236962655,0.8640760037261307,WSE,Mimic : ART
SKZFC_ART_1_30_800_VitalDB,0.6251796717026696,0.006389701467395306,1.0081872748262422,0.0120114432981759,4.434750582747936,0.968242760383866,SKZFC,ART,1,30,800,VitalDB,0.8873141841340435,0.9310546311892507,0.8459330215673442,0.968242760383866,0.03175723961613397,0.8447473813238635,0.8954583957196736,0.8941696726247923,0.8928956116688849,WSE,VitalDB : ART
SKZFC_ART_1_50_800_Mimic,1.143034444529502,0.005641415422236865,0.9376184310923693,0.0592293014700319,3.438081035664837,0.9814990756300124,SKZFC,ART,1,50,800,Mimic,0.8940782438629774,0.9201528964503717,0.6657674274275052,0.9814990756300124,0.018500924369987626,0.9478051830182489,0.8818605652778231,0.8738429936414127,0.8648736802224947,WSE,Mimic : ART
SKZFC_ART_1_50_800_VitalDB,0.9373511586421635,0.004262746383627716,1.1643162064836117,0.0136765301059539,4.600317859070126,0.9658272422722556,SKZFC,ART,1,50,800,VitalDB,0.9078628532463594,0.9500374210951229,0.8357369398083621,0.9658272422722556,0.03417275772774442,0.9201083497266123,0.9159145612297424,0.9147739653507138,0.9136029092914858,WSE,VitalDB : ART
SKZFC_ART_2_30_500_Mimic,0.8648306069912391,0.03282012223629368,0.4947225359007747,0.0419902473792831,4.987218128679033,0.9610705796338532,SKZFC,ART,2,30,500,Mimic,0.7479438616708838,0.7926014467378835,0.7161852540805156,0.9610705796338532,0.03892942036614677,0.907003593364302,0.8249609470974877,0.819714666543541,0.814598725289344,WSE,Mimic : ART
SKZFC_ART_2_30_500_VitalDB,0.8395781592270474,0.007066259609927477,0.5194674649928945,0.0236274248618768,5.8427064460262566,0.9448770463422688,SKZFC,ART,2,30,500,VitalDB,0.8815385127723433,0.8038461690597065,0.7851611759044536,0.9448770463422688,0.05512295365773123,0.9019250064874283,0.8634695821132402,0.8613581279498149,0.8592391437736705,WSE,VitalDB : ART
SKZFC_ART_2_30_800_Mimic,1.1412693786281516,0.0272129964162778,0.5574778470737852,0.0489862331912379,3.2612163951721005,0.9833535954773096,SKZFC,ART,2,30,800,Mimic,0.7698448201062849,0.8197988730247194,0.6945067388987674,0.9833535954773096,0.016646404522690395,0.9476155015140004,0.8430239058042164,0.8360375192569355,0.8290700018042695,WSE,Mimic : ART
SKZFC_ART_2_30_800_VitalDB,1.036310096262157,0.007753757639506675,0.754727645341175,0.0139725554367855,4.2083722546386175,0.9714021986978468,SKZFC,ART,2,30,800,VitalDB,0.8759520539840465,0.8825925773188944,0.833993198374557,0.9714021986978468,0.02859780130215317,0.9349569062563468,0.8997793869263383,0.8985014000645553,0.8972313243850676,WSE,VitalDB : ART
SKZFC_ART_2_50_800_Mimic,1.231631341947974,0.025342400689851777,0.3953180024785196,0.0451406825182825,3.258704373051988,0.9833792301034286,SKZFC,ART,2,50,800,Mimic,0.777689955846367,0.739218344256955,0.7061872588922351,0.9833792301034286,0.016620769896571352,0.9564744335492892,0.832589844529655,0.8248570679809141,0.8173804240661879,WSE,Mimic : ART
SKZFC_ART_2_50_800_VitalDB,0.9373743817205349,0.013387612620133119,0.5082311341072928,0.0148798516982451,4.165630706980652,0.9719801452815512,SKZFC,ART,2,50,800,VitalDB,0.8374578613229144,0.7988285876586751,0.8287655301474337,0.9719801452815512,0.02801985471844881,0.9201122213842359,0.8714288691589621,0.869099073551088,0.8668232838195017,WSE,VitalDB : ART
SKZFC_II_1_30_500_Mimic,1.128539231168287,0.05387206253390451,0.7889052377800614,0.2512912507694305,0.40132990227773435,0.3259998876439693,SKZFC,II,1,30,500,Mimic,0.6804022938412091,0.8908273795741597,0.37148294707490603,0.3259998876439693,0.6740001123560306,0.9462262972482749,0.6429877610765038,0.5866001023256097,0.5314343614302638,WSE,Mimic : II
SKZFC_II_1_30_500_VitalDB,0.7868316113178152,0.04565479006961606,0.5125447503076163,0.077208798469075,0.0522136132905184,0.7911388376531118,SKZFC,II,1,30,500,VitalDB,0.704593673893797,0.8007719061389728,0.6217330328703713,0.7911388376531118,0.20886116234688823,0.890345741421386,0.7617166383955277,0.7560884087351298,0.750342909228999,WSE,VitalDB : II
SKZFC_II_1_30_800_Mimic,1.0877122772296708,0.08758204210673039,0.8662528410361809,0.1476779987043105,0.3801796776563762,0.3951680472599171,SKZFC,II,1,30,800,Mimic,0.5991500161210145,0.9072812421335708,0.4942990837691984,0.3951680472599171,0.604831952740083,0.9415094630115026,0.6674815704590407,0.6309206827589278,0.5961617908540001,WSE,Mimic : II
SKZFC_II_1_30_800_VitalDB,0.3964265974029968,0.04207952504574362,0.6269711279656609,0.0454408746041109,0.05031545756479215,0.8060485427992865,SKZFC,II,1,30,800,VitalDB,0.715896202240281,0.845353449722116,0.7052555044622819,0.8060485427992865,0.1939514572007135,0.7398974704471524,0.7624902339342235,0.7605950985750793,0.7587400544108491,WSE,VitalDB : II
SKZFC_II_1_50_800_Mimic,1.199770247712397,0.06120225615957775,0.8593278280149594,0.1869776313820337,0.38078325280594605,0.393246054346732,SKZFC,II,1,50,800,Mimic,0.6605745847642419,0.9059210582110209,0.4414372825750682,0.393246054346732,0.606753945653268,0.9535409544520016,0.6709439868698129,0.6297627805317024,0.5899934883398616,WSE,Mimic : II
SKZFC_II_1_50_800_VitalDB,0.6014116473878779,0.03512309443658448,0.708914546849384,0.0565406799236142,0.04978080948834601,0.8101484694206664,SKZFC,II,1,50,800,VitalDB,0.7395471312798949,0.87049450005681,0.6730106981425052,0.8101484694206664,0.18985153057933357,0.8364537936151325,0.7859309185030018,0.78262206017472,0.7792195688626744,WSE,VitalDB : II
SKZFC_II_2_30_500_Mimic,0.6645714402870478,0.001938793768184727,0.5695286453954655,0.6001828753274661,0.3796122005207266,0.3969723106832798,SKZFC,II,2,30,500,Mimic,0.9377900377637408,0.8245479608186782,0.1639880802736038,0.3969723106832798,0.6030276893167201,0.8574939958532906,0.6361584770785187,0.5333656274948883,0.4145117928186651,WSE,Mimic : II
SKZFC_II_2_30_500_VitalDB,0.5211584691600263,0.0815358057538241,0.5116976916087687,0.0768679471579475,0.050334638706276615,0.8059006391678101,SKZFC,II,2,30,500,VitalDB,0.6120958238006342,0.800391992465773,0.6225062402182013,0.8059006391678101,0.19409936083218993,0.8045889029574381,0.7290967197219713,0.7231431553226574,0.7170260826713301,WSE,VitalDB : II
SKZFC_II_2_30_800_Mimic,0.9929977583601177,0.08653347484671332,0.48588293799418686,0.1773082069850437,0.3869539401286528,0.3734215174301896,SKZFC,II,2,30,800,Mimic,0.60135391990418,0.7884071187072133,0.4535958044974794,0.3734215174301896,0.6265784825698104,0.92884664101683,0.6291250003111785,0.5950296587255739,0.562401653948085,WSE,Mimic : II
SKZFC_II_2_30_800_VitalDB,0.6100616269619425,0.08498849374015836,0.49373466392165033,0.0682971196557163,0.05068529853431466,0.8031868050139883,SKZFC,II,2,30,800,VitalDB,0.604632110146734,0.7921374750275213,0.6426823670213444,0.8031868050139883,0.19681319498601169,0.8395273784160358,0.7364332271251246,0.7301766086588465,0.7237491747374096,WSE,VitalDB : II
SKZFC_II_2_50_800_Mimic,1.1032024689791557,0.09652150511212634,0.6882518462509738,0.0971830228060355,0.38298909046875723,0.3861959684864586,SKZFC,II,2,50,800,Mimic,0.5810089663812521,0.8646041357154134,0.5797101750944351,0.3861959684864586,0.6138040315135413,0.9433473703177113,0.6709733231990541,0.6384664619137191,0.605902241438413,WSE,Mimic : II
SKZFC_II_2_50_800_VitalDB,0.6209569197515211,0.07815619550127786,0.47913150484686995,0.0507255189568384,0.04950010540926352,0.8122835028935531,SKZFC,II,2,50,800,VitalDB,0.6195949042397833,0.7851378572194835,0.6893964210584238,0.8122835028935531,0.1877164971064469,0.8433084177044196,0.7499442206231327,0.7451494233615167,0.7401851401059801,WSE,VitalDB : II
